Stationsnummer;Messstelle;Komponente;Einheit;Messhöhe über Grund in m;Höhe der Messstation über NN in m;PLZ;Ort;Straße;Ost;Nord;Inbetriebnahme Datum;Stilllege Datum;Aktiv (Y/N)
4467;Schwarzwald-Süd;Kohlenmonoxid;mg/m³;0;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Kohlenmonoxid;mg/m³;4;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Luftdruck;mbar;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Niederschlag;mm;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Ozon;µg/m³;4;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Ozon;µg/m³;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Schwebstaub PM 10 (Streulicht);µg/m³;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Schwebstaub PM 2_5 (Gravimetrie);µg/m³;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Schwefeldioxid;µg/m³;0;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Schwefeldioxid;µg/m³;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Stickstoffdioxid;µg/m³;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Stickstoffmonoxid;µg/m³;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Temperatur;°C;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Windgeschwindigkeit;m/s;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
4467;Schwarzwald-Süd;Windrichtung;°;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
76361;Stuttgart Am Neckartor;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;239;70190;Stuttgart;Am Neckartor;514000;5403900;2003-12-01;NA;Ja
76361;Stuttgart Am Neckartor;Schwebstaub PM 10 (Streulicht);µg/m³;0;239;70190;Stuttgart;Am Neckartor;514000;5403900;2003-12-01;NA;Ja
76361;Stuttgart Am Neckartor;Schwebstaub PM 2_5 (Gravimetrie);µg/m³;NA;239;70190;Stuttgart;Am Neckartor;514000;5403900;2003-12-01;NA;Ja
76361;Stuttgart Am Neckartor;Stickstoffdioxid;µg/m³;NA;239;70190;Stuttgart;Am Neckartor;514000;5403900;2003-12-01;NA;Ja
76361;Stuttgart Am Neckartor;Stickstoffmonoxid;µg/m³;NA;239;70190;Stuttgart;Am Neckartor;514000;5403900;2003-12-01;NA;Ja
55006;Stuttgart Arnulf-Klett-Platz;Kohlenmonoxid;mg/m³;NA;243;70174;Stuttgart;Arnulf-Klett-Platz;513200;5403300;1994-12-01;NA;Ja
55006;Stuttgart Arnulf-Klett-Platz;Ozon;µg/m³;0;243;70174;Stuttgart;Arnulf-Klett-Platz;513200;5403300;1994-12-01;NA;Ja
55006;Stuttgart Arnulf-Klett-Platz;Ozon;µg/m³;4;243;70174;Stuttgart;Arnulf-Klett-Platz;513200;5403300;1994-12-01;NA;Ja
55006;Stuttgart Arnulf-Klett-Platz;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;243;70174;Stuttgart;Arnulf-Klett-Platz;513200;5403300;1994-12-01;NA;Ja
55006;Stuttgart Arnulf-Klett-Platz;Schwebstaub PM 10 (Streulicht);µg/m³;0;243;70174;Stuttgart;Arnulf-Klett-Platz;513200;5403300;1994-12-01;NA;Ja
55006;Stuttgart Arnulf-Klett-Platz;Schwebstaub PM 2_5 (Gravimetrie);µg/m³;NA;243;70174;Stuttgart;Arnulf-Klett-Platz;513200;5403300;1994-12-01;NA;Ja
55006;Stuttgart Arnulf-Klett-Platz;Stickstoffdioxid;µg/m³;NA;243;70174;Stuttgart;Arnulf-Klett-Platz;513200;5403300;1994-12-01;NA;Ja
55006;Stuttgart Arnulf-Klett-Platz;Stickstoffmonoxid;µg/m³;NA;243;70174;Stuttgart;Arnulf-Klett-Platz;513200;5403300;1994-12-01;NA;Ja
9999136;Stuttgart Hauptstätter Straße;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;258;70187;Stuttgart;Hauptstätter Straße;512500;5401500;2015-11-01;2019-01-02;Ja
9999136;Stuttgart Hauptstätter Straße;Schwebstaub PM 10 (Gravimetrie);µg/m³;0;258;70187;Stuttgart;Hauptstätter Straße;512500;5401500;2015-11-01;2019-01-02;Ja
9999136;Stuttgart Hauptstätter Straße;Stickstoffdioxid;µg/m³;0;258;70187;Stuttgart;Hauptstätter Straße;512500;5401500;2015-11-01;2019-01-02;Ja
9999136;Stuttgart Hauptstätter Straße;Stickstoffdioxid;µg/m³;NA;258;70187;Stuttgart;Hauptstätter Straße;512500;5401500;2015-11-01;2019-01-02;Ja
9999136;Stuttgart Hauptstätter Straße;Stickstoffmonoxid;µg/m³;0;258;70187;Stuttgart;Hauptstätter Straße;512500;5401500;2015-11-01;2019-01-02;Ja
9999139;Stuttgart Hauptstätter Straße-West;Schwebstaub PM 10 (Streulicht);µg/m³;0;260;70187;Stuttgart;Hauptstätter Straße;512500;5401400;2017-07-01;NA;Ja
76362;Stuttgart Hohenheimer Straße;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;303;70184;Stuttgart;Hohenheimer Straße;513500;5401700;2003-12-01;NA;Ja
76362;Stuttgart Hohenheimer Straße;Stickstoffdioxid;µg/m³;NA;303;70184;Stuttgart;Hohenheimer Straße;513500;5401700;2003-12-01;NA;Ja
76362;Stuttgart Hohenheimer Straße;Stickstoffmonoxid;µg/m³;NA;303;70184;Stuttgart;Hohenheimer Straße;513500;5401700;2003-12-01;NA;Ja
76363;Stuttgart Siemensstraße;Schwebstaub PM 10 (Gravimetrie);µg/m³;0;296;70469;Stuttgart;Siemensstraße;512800;5406400;2009-02-01;NA;Nein
76363;Stuttgart Siemensstraße;Stickstoffdioxid;µg/m³;0;296;70469;Stuttgart;Siemensstraße;512800;5406400;2009-02-01;NA;Nein
76363;Stuttgart Siemensstraße;Stickstoffmonoxid;µg/m³;0;296;70469;Stuttgart;Siemensstraße;512800;5406400;2009-02-01;NA;Nein
9999137;Stuttgart Stadtgarten;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;253;70174;Stuttgart;Stadtgarten;512600;5403100;2015-11-01;2019-01-02;Ja
9999137;Stuttgart Stadtgarten;Schwebstaub PM 10 (Gravimetrie);µg/m³;0;253;70174;Stuttgart;Stadtgarten;512600;5403100;2015-11-01;2019-01-02;Ja
9999137;Stuttgart Stadtgarten;Stickstoffdioxid;µg/m³;0;253;70174;Stuttgart;Stadtgarten;512600;5403100;2015-11-01;2019-01-02;Ja
9999137;Stuttgart Stadtgarten;Stickstoffmonoxid;µg/m³;0;253;70174;Stuttgart;Stadtgarten;512600;5403100;2015-11-01;2019-01-02;Ja
76413;Stuttgart Waiblinger Straße;Schwebstaub PM 10 (Gravimetrie);µg/m³;0;223;70372;Stuttgart;Waiblinger Straße;516100;5405600;2012-08-01;2014-12-30;Nein
4452;Stuttgart-Bad Cannstatt;Globalstrahlung;W/m²;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Kohlenmonoxid;mg/m³;4;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Kohlenmonoxid;mg/m³;0;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Luftdruck;mbar;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Niederschlag;mm;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Ozon;µg/m³;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Schwebstaub PM 10 (Streulicht);µg/m³;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Schwebstaub PM 2_5 (Gravimetrie);µg/m³;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Schwefeldioxid;µg/m³;4;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Schwefeldioxid;µg/m³;0;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Stickstoffdioxid;µg/m³;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Stickstoffmonoxid;µg/m³;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Temperatur;°C;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Windgeschwindigkeit;m/s;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4452;Stuttgart-Bad Cannstatt;Windrichtung;°;NA;250;70374;Stuttgart;Gnesener Straße;516800;5406200;1981-01-01;NA;Ja
4451;Stuttgart-Hafen;Schwebstaub PM 10 (Gravimetrie);µg/m³;0;235;70329;Stuttgart;Am Mittelkai;519500;5399900;1981-01-01;2003-10-28;Nein
4449;Stuttgart-Zuffenhausen;Kohlenmonoxid;mg/m³;4;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Kohlenmonoxid;mg/m³;0;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Niederschlag;mm;3;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Ozon;µg/m³;0;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Ozon;µg/m³;4;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Schwebstaub PM 10 (Gravimetrie);µg/m³;0;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Schwefeldioxid;µg/m³;0;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Schwefeldioxid;µg/m³;4;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Stickstoffdioxid;µg/m³;0;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Stickstoffdioxid;µg/m³;4;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Stickstoffmonoxid;µg/m³;0;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Stickstoffmonoxid;µg/m³;4;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Windgeschwindigkeit;m/s;10;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
4449;Stuttgart-Zuffenhausen;Windrichtung;°;10;272;70435;Stuttgart;Ludwigsburger-/Frankenstraße;512600;5408000;1980-12-01;2011-05-31;Nein
53277;Karlsruhe Reinhold-Frank-Straße;Kohlenmonoxid;mg/m³;NA;119;75185;Karlsruhe;Reinhold-Frank-Straße;455100;5428500;1994-03-10;NA;Ja
53277;Karlsruhe Reinhold-Frank-Straße;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;119;75185;Karlsruhe;Reinhold-Frank-Straße;455100;5428500;1994-03-10;NA;Ja
53277;Karlsruhe Reinhold-Frank-Straße;Schwebstaub PM 10 (Streulicht);µg/m³;0;119;75185;Karlsruhe;Reinhold-Frank-Straße;455100;5428500;1994-03-10;NA;Ja
53277;Karlsruhe Reinhold-Frank-Straße;Schwebstaub PM 2_5 (Gravimetrie);µg/m³;NA;119;75185;Karlsruhe;Reinhold-Frank-Straße;455100;5428500;1994-03-10;NA;Ja
53277;Karlsruhe Reinhold-Frank-Straße;Stickstoffdioxid;µg/m³;NA;119;75185;Karlsruhe;Reinhold-Frank-Straße;455100;5428500;1994-03-10;NA;Ja
53277;Karlsruhe Reinhold-Frank-Straße;Stickstoffmonoxid;µg/m³;NA;119;75185;Karlsruhe;Reinhold-Frank-Straße;455100;5428500;1994-03-10;NA;Ja
4441;Karlsruhe-Mitte;Kohlenmonoxid;mg/m³;4;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4441;Karlsruhe-Mitte;Kohlenmonoxid;mg/m³;0;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4441;Karlsruhe-Mitte;Ozon;µg/m³;0;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4441;Karlsruhe-Mitte;Ozon;µg/m³;4;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4441;Karlsruhe-Mitte;Schwebstaub PM 10 (Gravimetrie);µg/m³;0;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4441;Karlsruhe-Mitte;Schwefeldioxid;µg/m³;0;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4441;Karlsruhe-Mitte;Schwefeldioxid;µg/m³;4;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4441;Karlsruhe-Mitte;Stickstoffdioxid;µg/m³;0;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4441;Karlsruhe-Mitte;Stickstoffdioxid;µg/m³;4;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4441;Karlsruhe-Mitte;Stickstoffmonoxid;µg/m³;0;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4441;Karlsruhe-Mitte;Stickstoffmonoxid;µg/m³;4;117;76131;Karlsruhe;Durlacher Tor (Kinderklinik);457400;5428700;1975-12-31;2011-05-31;Nein
4444;Karlsruhe-Nordwest;Globalstrahlung;W/m²;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Kohlenmonoxid;mg/m³;0;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Kohlenmonoxid;mg/m³;4;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Luftdruck;mbar;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Niederschlag;mm;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Ozon;µg/m³;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Schwebstaub PM 10 (Streulicht);µg/m³;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Schwebstaub PM 2_5 (Gravimetrie);µg/m³;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Schwefeldioxid;µg/m³;4;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Schwefeldioxid;µg/m³;0;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Stickstoffdioxid;µg/m³;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Stickstoffmonoxid;µg/m³;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Temperatur;°C;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Windgeschwindigkeit;m/s;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4444;Karlsruhe-Nordwest;Windrichtung;°;NA;114;76185;Karlsruhe;Daimlerstraße;452800;5430800;1985-03-01;NA;Ja
4443;Karlsruhe-West;Schwebstaub PM 10 (Gravimetrie);µg/m³;0;115;76185;Karlsruhe;Vogesenstraße/Karl-Metz-Brücke;452700;5428600;1976-01-01;2003-09-30;Nein
