Stationsnummer;Messstelle;Komponente;Einheit;Messhöhe über Grund in m;Höhe der Messstation über NN in m;PLZ;Ort;Straße;Ost;Nord;Inbetriebnahme Datum;Stilllege Datum;Aktiv (Y/N)
4462;Freiburg;Windgeschwindigkeit;m/s;NA;262;79106;Freiburg;Fehrenbachallee;412800;5317100;1979-06-01;NA;Ja
4462;Freiburg;Windrichtung;°;NA;262;79106;Freiburg;Fehrenbachallee;412800;5317100;1979-06-01;NA;Ja
4471;Friedrichshafen;Globalstrahlung;W/m²;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Kohlenmonoxid;mg/m³;0;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Kohlenmonoxid;mg/m³;4;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Luftdruck;mbar;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Niederschlag;mm;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Ozon;µg/m³;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Schwebstaub PM 10 (Streulicht);µg/m³;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Schwefeldioxid;µg/m³;0;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Schwefeldioxid;µg/m³;4;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Stickstoffdioxid;µg/m³;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Stickstoffmonoxid;µg/m³;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Temperatur;°C;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Windgeschwindigkeit;m/s;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4471;Friedrichshafen;Windrichtung;°;NA;403;88048;Friedrichshafen;Ehlerstraße;536500;5278600;1987-01-01;NA;Ja
4453;Heidelberg;Globalstrahlung;W/m²;NA;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Kohlenmonoxid;mg/m³;4;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Kohlenmonoxid;mg/m³;0;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Niederschlag;mm;NA;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Ozon;µg/m³;NA;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Schwebstaub PM 10 (Streulicht);µg/m³;NA;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Schwefeldioxid;µg/m³;0;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Schwefeldioxid;µg/m³;4;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Stickstoffdioxid;µg/m³;NA;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Stickstoffmonoxid;µg/m³;NA;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Temperatur;°C;NA;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Windgeschwindigkeit;m/s;NA;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4453;Heidelberg;Windrichtung;°;NA;112;69120;Heidelberg;Berliner Straße (Ecke Blumenthalstraße);476500;5474100;1984-01-01;NA;Ja
4461;Heilbronn;Globalstrahlung;W/m²;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
